Timestamp,Gender,Age,Mothertongue,FrgLang,PrevStudy,DiffLevel,Strategy,Effective_Skolan,Effective_Homework,Effective_Book,Effective_Film,Effective_Newspapers,Effective_Audio,Effective_SocialEvents,SvkKurs,Personal startegy
2024/11/20 12:12:32 pm CET,Man,22,0,1,7,5,Gå på skolan;Göra läxorna;Läsa bocker;Gå på språkkafe eller sådana sociala händelser,Inte effektivt alls,Inte effektivt alls,Inte effektivt alls,Inte effektivt alls,Inte effektivt alls,Inte effektivt alls,Inte effektivt alls,SVenska som andra språk 02,
2024/11/20 12:24:21 pm CET,Man,23,1,4,8,2,Gå på skolan;Titta på TV/bio;Läsa tidningar;Gå på språkkafe eller sådana sociala händelser,Effektivt,Neutral,Neutral,Neutral,Neutral,Lite effektivt,Mycket effektivt,Svenska 2 ,
2024/11/20 12:25:26 pm CET,Kvinna,30,1,4,14,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Läsa tidningar;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Neutral,Neutral,Effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Svenska som andra språk 1,Jag  har gått på uttal kurs och extra hjälp med  skriva.Jag provade allt för att lära mig svenska .
2024/11/20 12:32:06 pm CET,Kvinna,22,1,2,6,3,Gå på skolan;Göra läxorna;Läsa bocker,Mycket effektivt,Mycket effektivt,Mycket effektivt,Effektivt,Effektivt,Mycket effektivt,Effektivt,Sva2,Använda de order som jag har lärt mig under dagen. Prata svenska läsa och skriva min dagliga rutiner. 
2024/11/20 12:42:54 pm CET,Kvinna,28,1,1,16,4,Gå på skolan;Göra läxorna;Titta på TV/bio,Neutral,Effektivt,Neutral,Neutral,Lite effektivt,Lite effektivt,Neutral,Grund fyra.,Pratar svenska med ChatGPT.
2024/11/20 12:45:16 pm CET,Man,45,1,1,14,3,Gå på skolan;Läsa bocker;Lyssna på audio/podcast,Effektivt,Effektivt,Neutral,Neutral,Neutral,Neutral,Neutral,Grund D,
2024/11/20 12:55:40 pm CET,Kvinna,34,0,1,1,3,Gå på skolan;Titta på TV/bio;Läsa tidningar;Gå på språkkafe eller sådana sociala händelser,Lite effektivt,Lite effektivt,Lite effektivt,Neutral,Neutral,Lite effektivt,Neutral,3,
2024/11/20 1:03:10 pm CET,Kvinna,37,1,1,17,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Läsa tidningar;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Effektivt,Effektivt,Effektivt,Effektivt,Effektivt,Effektivt,Effektivt,SVA01,
2024/11/20 1:11:32 pm CET,Kvinna,50,1,2,16,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Mycket effektivt,Mycket effektivt,Effektivt,Effektivt,Effektivt,Effektivt,Effektivt,Sva 2 ,
2024/11/20 1:16:53 pm CET,Kvinna,39,1,5,19,4,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Läsa tidningar;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Effektivt,Mycket effektivt,Neutral,Mycket effektivt,Neutral,Effektivt,Mycket effektivt,Grundläggande nivå ,
2024/11/20 1:23:16 pm CET,Kvinna,36,0,1,15,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Lyssna på audio/podcast,Mycket effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Effektivt,Mycket effektivt,Mycket effektivt,SVA GRN D,
2024/11/20 1:56:03 pm CET,Kvinna,24,1,1,3.5,5,Gå på skolan;Göra läxorna;Läsa bocker;Gå på språkkafe eller sådana sociala händelser,Mycket effektivt,Effektivt,Mycket effektivt,Lite effektivt,Neutral,Lite effektivt,Mycket effektivt,Grundläggande Kurs C,Det finns aktivitet i listan.
2024/11/20 3:33:29 pm CET,Kvinna,40,0,1,17,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Läsa tidningar;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Mycket effektivt,Mycket effektivt,Mycket effektivt,Effektivt,Effektivt,Effektivt,Mycket effektivt,SVA gymnasiet,Att göra korsord
2024/11/20 3:43:45 pm CET,Kvinna,46,1,1,16,5,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Läsa tidningar;Lyssna på audio/podcast,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Kurs D,jobb
2024/11/20 3:47:50 pm CET,Kvinna,23,1,1,6,3,Lyssna på audio/podcast,Lite effektivt,Lite effektivt,Lite effektivt,Lite effektivt,Lite effektivt,Lite effektivt,Neutral,Sva2,För att lära mig svenska var det en stark väg att jobba och integrera mig i samhället. På jobbet måste man prata svenska för att kunna nå sina rättigheter.
2024/11/20 3:57:50 pm CET,Kvinna,44,1,2,0,5,Gå på skolan;Göra läxorna,Mycket effektivt,Mycket effektivt,Mycket effektivt,Neutral,Neutral,Effektivt,Lite effektivt,Grundläggande D,
2024/11/20 4:16:54 pm CET,Kvinna,36,0,3,19,2,Gå på skolan;Göra läxorna;Läsa bocker;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Effektivt,Mycket effektivt,Effektivt,Lite effektivt,Neutral,Effektivt,Mycket effektivt,Svenska som andraspråk grund nivå del d,
2024/11/20 4:34:37 pm CET,Kvinna,49,1,1,12,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Läsa tidningar;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Effektivt,Mycket effektivt,Effektivt,G----B  KOMVUX,
2024/11/20 5:18:54 pm CET,Kvinna,30,0,0,17,4,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Läsa tidningar;Lyssna på audio/podcast,Neutral,Neutral,Effektivt,Effektivt,Effektivt,Effektivt,Neutral,SVA grundläggande ,
2024/11/20 5:47:52 pm CET,Man,35,1,3,15,3,Gå på skolan;Lyssna på audio/podcast,Effektivt,Effektivt,Effektivt,Neutral,Mycket effektivt,Effektivt,Mycket effektivt,Svenska 1/B1-B2,
2024/11/20 6:09:43 pm CET,Kvinna,38,1,1,15,3,Gå på skolan;Göra läxorna;Läsa bocker;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Grund D,
2024/11/20 8:28:50 pm CET,Kvinna,40,1,1,12,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Gå på språkkafe eller sådana sociala händelser,Mycket effektivt,Mycket effektivt,Mycket effektivt,Neutral,Neutral,Mycket effektivt,Mycket effektivt,Grund D,
2024/11/20 9:16:17 pm CET,Man,27,1,1,12,1,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Gå på språkkafe eller sådana sociala händelser,Mycket effektivt,Mycket effektivt,Neutral,Mycket effektivt,Mycket effektivt,Lite effektivt,Mycket effektivt,Grund B,
2024/11/20 9:57:18 pm CET,Kvinna,31,0,1,19,3,Gå på skolan;Göra läxorna;Läsa bocker;Läsa tidningar;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Neutral,Effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Sas 2,
2024/11/21 6:25:35 am CET,Kvinna,40,0,3,13,4,Gå på skolan;Göra läxorna;Läsa bocker;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Mycket effektivt,Mycket effektivt,Neutral,Lite effektivt,Lite effektivt,Effektivt,Effektivt,Svenska som andra språk 1,
2024/11/21 8:51:28 am CET,Kvinna,49,1,1,12,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Effektivt,Mycket effektivt,Mycket effektivt,Grund B,
2024/11/21 9:27:15 am CET,Kvinna,31,1,2,16,3,Gå på skolan;Gå på språkkafe eller sådana sociala händelser,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Grund B,
2024/11/21 9:28:58 am CET,Ville inte säga,20,1,1,14,3,Gå på skolan;Gå på språkkafe eller sådana sociala händelser,Mycket effektivt,Effektivt,Neutral,Neutral,Neutral,Effektivt,Mycket effektivt,SVA02,Prata med mina vänner 
2024/11/21 10:25:08 am CET,Man,25,1,1,1,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Lyssna på audio/podcast,Neutral,Neutral,Effektivt,Neutral,Neutral,Neutral,Lite effektivt,Svenska som andra språk 2 ,
2024/11/21 12:14:19 pm CET,Man,25,1,1,10,3,Gå på skolan,Effektivt,Neutral,Effektivt,Lite effektivt,Neutral,Neutral,Effektivt,Svenska 2,
2024/11/21 12:41:36 pm CET,Kvinna,42,1,1,5,3,Gå på skolan;Läsa tidningar,Effektivt,Lite effektivt,Neutral,Neutral,Effektivt,Neutral,Effektivt,Svenska som andra språk ,Prata med andra 
2024/11/21 3:22:06 pm CET,Kvinna,28,1,2,18,3,Gå på skolan;Läsa bocker;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Lite effektivt,Effektivt,Effektivt,Neutral,Neutral,Mycket effektivt,Mycket effektivt,SVA D,
2024/11/21 10:59:07 pm CET,Man,50,1,3,12,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Läsa tidningar;Lyssna på audio/podcast,Effektivt,Mycket effektivt,Effektivt,Effektivt,Effektivt,Effektivt,Neutral,SVA D,
2024/11/22 6:59:20 am CET,Kvinna,49,1,1,16,4,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Läsa tidningar;Lyssna på audio/podcast,Mycket effektivt,Mycket effektivt,Neutral,Neutral,Lite effektivt,Lite effektivt,Inte effektivt alls,svenska som andra språk 1,"jag försöker lära mig svenska genom att läsa allt jag ser framför mig genom reklam på tv , reklam på gatorna och vid busshållplatser, vid dörrarna till sjukhuset och offentliga platser.jag läsa och översätta varje meddelande som jag fick via mobilen eller post .    "
2024/11/22 10:02:50 am CET,Kvinna,42,1,1,12,4,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Neutral,Neutral,Lite effektivt,Lite effektivt,Neutral,Lite effektivt,Lite effektivt,Sva D flex,"Att prata med min kunder ,  läsa boken, och allt möjligt, man lära sig svenska genom jobbet också."
2024/11/22 3:35:38 pm CET,Kvinna,30,1,3,17,2,Gå på skolan;Göra läxorna;Lyssna på audio/podcast,Effektivt,Effektivt,Effektivt,Neutral,Neutral,Effektivt,Effektivt,SVA D,
2024/11/22 9:51:19 pm CET,Kvinna,44,1,2,17,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Läsa tidningar;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Effektivt,Effektivt,Effektivt,Effektivt,Lite effektivt,Effektivt,Lite effektivt,grundläggande B,
2024/11/23 10:55:14 am CET,Kvinna,25,0,2,18,3,Göra läxorna;Läsa bocker;Titta på TV/bio;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Lite effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,"Grund, kurs D","Jobba med svenska som ett korporativt språk, lyssna på svenska sånger"
2024/11/24 2:53:05 pm CET,Kvinna,51,0,0,16,5,Gå på skolan,Effektivt,Mycket effektivt,Lite effektivt,Effektivt,Lite effektivt,Effektivt,Mycket effektivt,Kurs B.,-----
2024/11/24 2:53:45 pm CET,Kvinna,40,1,1,10,3,Gå på skolan;Läsa bocker;Läsa tidningar,Mycket effektivt,Mycket effektivt,Mycket effektivt,Effektivt,Effektivt,Mycket effektivt,Neutral,GrundC,
2024/11/24 3:37:47 pm CET,Kvinna,40,0,1,10,5,Gå på språkkafe eller sådana sociala händelser,Effektivt,Mycket effektivt,Mycket effektivt,Effektivt,Effektivt,Effektivt,Mycket effektivt,SVA kurs D flex,Man kan använder pedagogiska appar.
2024/11/24 5:16:17 pm CET,Kvinna,32,1,0,6,5,Gå på skolan,Lite effektivt,Lite effektivt,Neutral,Lite effektivt,Lite effektivt,Neutral,Neutral,Grund C ,Jag vet inte 
2024/11/24 8:48:23 pm CET,Kvinna,54,1,0,9,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Gå på språkkafe eller sådana sociala händelser,Effektivt,Effektivt,Effektivt,Effektivt,Inte effektivt alls,Inte effektivt alls,Neutral,Grund C,Inget annat
2024/11/24 9:36:05 pm CET,Kvinna,30,1,1,16,4,Gå på skolan;Göra läxorna;Gå på språkkafe eller sådana sociala händelser,Mycket effektivt,Effektivt,Lite effektivt,Neutral,Lite effektivt,Neutral,Mycket effektivt,Grundlägande B,
2024/11/24 10:05:18 pm CET,Kvinna,51,1,1,12,4,Gå på skolan;Göra läxorna;Titta på TV/bio,Effektivt,Effektivt,Effektivt,Effektivt,Effektivt,Neutral,Effektivt,Barn och fritids kurs,Youtube 
2024/11/25 8:42:00 am CET,Kvinna,21,0,2,13,2,Gå på skolan;Göra läxorna;Titta på TV/bio,Effektivt,Effektivt,Effektivt,Mycket effektivt,Neutral,Neutral,Effektivt,SVA grundläggande C,Jag använder olika apps som hjälper mig (med lappar till exempel). 
2024/11/25 8:47:14 am CET,Kvinna,21,0,2,13,2,Gå på skolan;Göra läxorna;Titta på TV/bio,Mycket effektivt,Effektivt,Effektivt,Effektivt,Mycket effektivt,Effektivt,Effektivt,SVA grundläggande C,Jag använder olika apps (med lappar till exempel)
2024/11/25 9:14:03 am CET,Man,61,1,0,4,3,Gå på skolan;Göra läxorna;Gå på språkkafe eller sådana sociala händelser,Effektivt,Effektivt,Mycket effektivt,Mycket effektivt,Neutral,Effektivt,Effektivt,kurs s,Jag går till språkkafe.
2024/11/25 9:27:53 am CET,Kvinna,37,0,4,18,3,Gå på skolan;Göra läxorna;Läsa bocker;Titta på TV/bio;Läsa tidningar;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Effektivt,Effektivt,Neutral,Mycket effektivt,Mycket effektivt,Mycket effektivt,Mycket effektivt,Grund C,tanke karta 
2024/11/25 8:11:57 pm CET,Kvinna,29,1,3,15,4,Gå på skolan;Läsa bocker;Titta på TV/bio;Lyssna på audio/podcast;Gå på språkkafe eller sådana sociala händelser,Effektivt,Effektivt,Mycket effektivt,Mycket effektivt,Effektivt,Effektivt,Effektivt,SVA 3,
