ad_id,date_published,typology,asking_price_sek,land_area_sqm,living_area_sqm,sqm_price_sek,number_rooms,address,location,coordenates
21440984,2024-12-28,APARTMENT,3695000.0,0.0,82.0,45061.0,4.0,Einar Hansens esplanad 14,"Västra Hamnen, Malmö kommun","55.6118431,12.9822884"
21462070,2024-12-28,APARTMENT,3095000.0,0.0,109.0,28394.0,4.0,Skarpskyttevägen 30A,"Norra Fäladen, Lunds kommun","55.7230072,13.1973028"
21455084,2024-12-28,APARTMENT,2295000.0,0.0,54.0,42500.0,2.0,Boplatsvägen 9,"Brotorp/järvastaden, Sundbybergs kommun","59.381943,17.973993"
21411619,2024-12-28,APARTMENT,3675000.0,0.0,119.0,30882.0,4.0,Drottninggatan 34C,"Alingsås, Alingsås kommun","57.93111,12.5369"
21461458,2024-12-28,APARTMENT,295000.0,0.0,99.0,2980.0,4.0,Valhallagatan 19A,"Skara, Skara kommun","58.38283,13.4190693"
21330881,2024-12-28,HOUSE,2085000.0,435.0,111.0,4793.1,5.0,Atlasvägen 15,"Övre Bredsand, Sundsvalls kommun","62.3521843,17.36001"
21461794,2024-12-28,APARTMENT,2895000.0,0.0,49.0,59082.0,2.0,Trollebergsvägen 49A,"Väster, Lunds kommun","55.7025223,13.1750078"
21441407,2024-12-28,APARTMENT,1450000.0,0.0,65.5,22137.0,2.0,Brattebovägen 1A,"Arvidstorp, Falkenbergs kommun","56.9110426888,12.4909330344"
21367531,2024-12-28,HOUSE,4450000.0,645.0,123.0,6899.22,4.0,Karl Salomonssons väg 2B,"Tröingeberg, Falkenbergs kommun","56.9221334579,12.5260441063"
21438918,2024-12-28,APARTMENT,2195000.0,0.0,53.0,41415.0,2.0,Krokslättsgatan 3B,"Krokslätt, Mölndals kommun","57.6746864,12.0062408"
21437450,2024-12-28,APARTMENT,2350000.0,0.0,72.5,32414.0,3.0,Flöjtgatan 15,"Kaverös, Göteborgs kommun","57.66122,11.9214287"
21459650,2024-12-28,APARTMENT,1895000.0,0.0,37.0,51216.0,1.0,Häradsgatan 30B,"Mölndal, Mölndals kommun","57.6624336,12.004921"
21460701,2024-12-28,APARTMENT,10495000.0,0.0,121.0,86736.0,4.0,Västgötagatan 18,"Södermalm - Katarina, Stockholms kommun","59.3121567,18.0714664"
21458767,2024-12-28,APARTMENT,4395000.0,0.0,74.0,59392.0,3.0,Hedtångsvägen 17,"Hovås, Göteborgs kommun","57.5980034,11.9523506"
21461611,2024-12-28,APARTMENT,1150000.0,0.0,32.5,35385.0,1.0,Näckrosvägen 24,"Västerslätt, Umeå kommun","63.8365538,20.2382571"
21462195,2024-12-28,APARTMENT,1995000.0,0.0,81.0,24630.0,3.0,Rosentorpsvägen 22,"Oxie, Malmö kommun","55.5471751058,13.1087864656"
21459845,2024-12-28,APARTMENT,2295000.0,0.0,51.0,45000.0,1.0,Norra gubberogatan 9,"Olskroken, Göteborgs kommun","57.71376,12.0004721"
21459825,2024-12-28,APARTMENT,3495000.0,0.0,66.5,52556.0,2.5,Klåvavägen 70,"Hovås, Göteborgs kommun","57.599472,11.94761"
21461283,2024-12-28,HOUSE,1350000.0,1200.0,162.0,1125.0,4.0,Gamla Froarpsvägen 11,"Asarum, Karlshamns kommun","56.211113,14.8409557"
